Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
Lançamento balneário,Avenida do Estado Dalmo Vieira,,1837  Pioneiros,Balneário Camboriú,R$ 2.650.000,282,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida do Estado Dalmo Vieira  Centro,,,Balneário Camboriú,R$ 1.190.000 Cond.: R$ 400,69,2  Quartos,2  Banheiros,1  Garagem
Alto padrão,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 6.800.000,312,4  Quartos,6  Banheiros,3  Garagens
Apartamento,Rua Protásio Boaventura Caetano,,11  Pioneiros,Balneário Camboriú,R$ 3.350.000,,,,
Apartamento finamente,Rua 2400,,441  Centro,Balneário Camboriú,R$ 2.968.377,150,4  Quartos,3  Banheiros,3  Garagens
Apartamento a,Rua 3144,,236  Centro,Balneário Camboriú,R$ 2.400.000 Cond.: R$ 1.100,136,3  Quartos,4  Banheiros,2  Garagens
Sparkling wine,Rua 3420,,110  Centro,Balneário Camboriú,R$ 3.934.481,199,4  Quartos,5  Banheiros,2  Garagens
Cobertura,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.450.000 Cond.: R$ 720,242,3  Quartos,4  Banheiros,6  Garagens
Lote em,Avenida Rodesindo Pavan,,1210  Praia do Estaleiro,Balneário Camboriú,R$ 2.000.000,,,,
Apartamento para,Rua 500,,250  Centro,Balneário Camboriú,R$ 2.600.000,151,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 820.000,83,2  Quartos,2  Banheiros,1  Garagem
Linda casa,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 5.950.000,580,5  Quartos,6  Banheiros,4  Garagens
Casa,Rua 980  Centro,,,Balneário Camboriú,R$ 1.700.000,240,3  Quartos,3  Banheiros,2  Garagens
Sala comercial,Rua Israel  Nações,,,Balneário Camboriú,R$ 39.000.000,,,,
Altissimo padrão,Avenida Atlântica,,1330  Centro,Balneário Camboriú,R$ 7.375.000 Cond.: R$ 1.780,197,3  Quartos,4  Banheiros,2  Garagens
Apartamento no,Rua 3700,,30  Centro,Balneário Camboriú,R$ 4.000.000,139,3  Quartos,3  Banheiros,3  Garagens
Frente mar,Avenida Atlântica,,4144  Centro,Balneário Camboriú,R$ 3.400.000,229,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Central,,414  Centro,Balneário Camboriú,R$ 1.100.000 Cond.: R$ 550,66,2  Quartos,2  Banheiros,1  Garagem
Ap novo,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.200.000,134,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.015.000,120,3  Quartos,3  Banheiros,2  Garagens
Frente mar,Avenida Atlântica,,2554  Centro,Balneário Camboriú,R$ 3.850.000 Cond.: R$ 1.150,170,4  Quartos,3  Banheiros,1  Garagem
Apt,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.190.000,118,3  Quartos,4  Banheiros,2  Garagens
Ocean palace,Avenida Atlântica,,4740  Centro,Balneário Camboriú,R$ 9.500.000 Cond.: R$ 2.500,257,4  Quartos,6  Banheiros,4  Garagens
Apt 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.200.000,151,3  Quartos,5  Banheiros,3  Garagens
Apartamento mobiliado,Avenida Atlântica,,2440  Centro,Balneário Camboriú,R$ 1.600.000,88,2  Quartos,2  Banheiros,2  Garagens
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.240.000 Cond.: R$ 400,74,2  Quartos,2  Banheiros,1  Garagem
Cobertura duplex,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.300.000,317,4  Quartos,1  Banheiro,2  Garagens
Apartamento,Rua 3700  Centro,,,Balneário Camboriú,R$ 3.800.000,139,3  Quartos,4  Banheiros,3  Garagens
Tríplex alto-padrão,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.100.000,184,3  Quartos,5  Banheiros,2  Garagens
Terreno 411m²,Endereço não disponível  Praia do Estaleirinho,,,Balneário Camboriú,R$ 1.000.000,,,,
Apartamento,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 4.650.000,138,3  Quartos,5  Banheiros,3  Garagens
Apartamento diferenciado,Centro! Apto Com Piscina Privativa!  Centro,,,Balneário Camboriú,R$ 1.900.000 Cond.: R$ 1.800,285,3  Quartos,3  Banheiros,2  Garagens
Home square,Rua 500,,250  Centro,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 1.300,209,4  Quartos,4  Banheiros,3  Garagens
Apartamento para,Rua Isidoro Caetano  Pioneiros,,,Balneário Camboriú,R$ 2.850.000,202,3  Quartos,4  Banheiros,2  Garagens
Incrível mobiliado,Rua 1101  Centro,,,Balneário Camboriú,R$ 4.850.000 Cond.: R$ 16,221,4  Quartos,1  Banheiro,2  Garagens
Lançamento fg,Rua Miguel Matte  Pioneiros,,,Balneário Camboriú,R$ 1.811.000,102,3  Quartos,3  Banheiros,2  Garagens
Ap 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 530,99,3  Quartos,2  Banheiros,1  Garagem
Yachthouse -,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 9.900.000,480,4  Quartos,5  Banheiros,4  Garagens
Azamor residencial,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 795.000,59,2  Quartos,2  Banheiros,1  Garagem
Admirá arrka,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.595.000,138,4  Quartos,5  Banheiros,3  Garagens
Apartamento! 3,Centro! Andar Alto!  Centro,,,Balneário Camboriú,R$ 2.713.000,113,3  Quartos,4  Banheiros,2  Garagens
The spot,Endereço não disponível  Estados,,,Balneário Camboriú,R$ 1.660.646,136,2  Quartos,3  Banheiros,1  Garagem
Esquina di,Rua 2870,,168  Centro,Balneário Camboriú,R$ 4.450.000,225,4  Quartos,3  Banheiros,3  Garagens
Pré lançamento,Avenida Brasil Com Rua 57  Centro,,,Balneário Camboriú,R$ 4.943.000,170,4  Quartos,4  Banheiros,3  Garagens
Ap 2,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 640.000,62,2  Quartos,2  Banheiros,1  Garagem
Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.493.000,339,3  Quartos,4  Banheiros,2  Garagens
Sobrado,Rua Antônio Athanázio Corrêa  Barra,,,Balneário Camboriú,R$ 650.000 Cond.: R$ 260,96,2  Quartos,3  Banheiros,1  Garagem
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.450.000,156,3  Quartos,3  Banheiros,1  Garagem
Apartamento para,Rua 3300  Centro,,,Balneário Camboriú,R$ 1.900.000,111,2  Quartos,2  Banheiros,2  Garagens
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.665.279,,,,
Cobertura duplex,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 1.000,300,3  Quartos,4  Banheiros,1  Garagem
San pietro,Rua Alvin Bauer,,250  Centro,Balneário Camboriú,R$ 5.850.000,,,,
C2 291,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 698.000,,,,
Apartamento para,Avenida Do Estado Dalmo Vieira,,4295  Centro,Balneário Camboriú,R$ 1.190.000,68,2  Quartos,2  Banheiros,1  Garagem
Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.850.000 Cond.: R$ 1.250,122,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Avenida Brasil  Centro,,,Balneário Camboriú,R$ 4.500.000,131,4  Quartos,5  Banheiros,4  Garagens
Alto padrão,Avenida Brasil,,3160  Centro,Balneário Camboriú,R$ 2.522.000,180,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 10.900.000,237,4  Quartos,4  Banheiros,4  Garagens
Infinity coast,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 8.300.000,182,3  Quartos,4  Banheiros,5  Garagens
Majestic residence,Rua 4450,,64  Barra Sul,Balneário Camboriú,R$ 6.450.000 Cond.: R$ 3.300,484,3  Quartos,5  Banheiros,4  Garagens
Prédio,Rua 3250,,100  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento,Rua Julieta Lins,,32  Pioneiros,Balneário Camboriú,R$ 12.000.000 Cond.: R$ 1.600,165,3  Quartos,4  Banheiros,3  Garagens
Ap diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.026.569,240,4  Quartos,6  Banheiros,3  Garagens
Apartamento,Rua 3900,,114  Centro,Balneário Camboriú,R$ 3.919.345,301,3  Quartos,1  Banheiro,2  Garagens
Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.995.000,230,3  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua 1141  Centro,,,Balneário Camboriú,R$ 3.150.000,190,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.200.000 Cond.: R$ 500,132,3  Quartos,4  Banheiros,2  Garagens
Prédio,1.201,,280  Centro,Balneário Camboriú,R$ Confira,,,,
Residencial farol,Rua 1101,,324  Centro,Balneário Camboriú,R$ 4.600.000,240,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 3610,,200  Centro,Balneário Camboriú,R$ 1.990.000,130,3  Quartos,4  Banheiros,3  Garagens
Apt mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 910.000,77,2  Quartos,2  Banheiros,1  Garagem
Galinha morta,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 900.000,124,3  Quartos,2  Banheiros,1  Garagem
Apartamento para,Rua 1800  Centro,,,Balneário Camboriú,R$ 1.380.000,155,3  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Brasil,,3551  Centro,Balneário Camboriú,R$ 3.090.000 Cond.: R$ 1.237,,,,
Apartamento,Rua 3550,,3400  Centro,Balneário Camboriú,R$ 2.900.000,131,3  Quartos,3  Banheiros,2  Garagens
Cobertura,3850,,3925  Barra Sul,Balneário Camboriú,R$ 3.900.000 Cond.: R$ 1.400,343,3  Quartos,6  Banheiros,2  Garagens
Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.500.000,280,4  Quartos,5  Banheiros,3  Garagens
Apartamento 3,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.890.000 Cond.: R$ 800,140,3  Quartos,1  Banheiro,4  Garagens
Sapphire apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.000.000,147,4  Quartos,1  Banheiro,3  Garagens
Apartamento,Rua 3160,,--  Centro,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 780,126,3  Quartos,1  Banheiro,2  Garagens
Alameda jardins,Avenida Brasil,,180  Pontal Norte,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 800,117,3  Quartos,4  Banheiros,2  Garagens
Apartamento para,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 5.900.000 Cond.: R$ 1.500,189,4  Quartos,5  Banheiros,2  Garagens
Terreno,Avenida das Arapongas,,455  Ariribá,Balneário Camboriú,R$ 1.100.000,,,,
Frente mar,Avenida Atlântica 400,,400  Centro,Balneário Camboriú,R$ 4.707.000 Cond.: R$ 1.054,145,3  Quartos,2  Banheiros,2  Garagens
Zenith tower,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 5.555.667,250,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 500,,--  Centro,Balneário Camboriú,R$ 2.600.000,122,3  Quartos,3  Banheiros,2  Garagens
Grand place,Rua 57,,16  Centro,Balneário Camboriú,R$ 4.700.000,170,4  Quartos,5  Banheiros,3  Garagens
Cobertura,Rua 1061,,298  Centro,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 900,217,4  Quartos,5  Banheiros,4  Garagens
Vitra by,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.200.000,171,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 730.000,100,1  Quarto,2  Banheiros,1  Garagem
03 suítes,Rua 3310  Centro,,,Balneário Camboriú,R$ 2.650.000,130,3  Quartos,3  Banheiros,2  Garagens
Apartamento 4,Avenida Atlântica,,3040  Centro,Balneário Camboriú,R$ 3.900.000 Cond.: R$ 1.350,180,4  Quartos,5  Banheiros,2  Garagens
Terreno a,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.750.000,,,,
Alto padrão,Rua 2100  Centro,,,Balneário Camboriú,R$ 3.500.000 Cond.: R$ 1.100,180,4  Quartos,4  Banheiros,2  Garagens
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.990.000 Cond.: R$ 700,187,3  Quartos,4  Banheiros,3  Garagens
Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.500.000,,,,
Sala,Rua 1001,,315  Centro,Balneário Camboriú,R$ 1.870.000 Cond.: R$ 226,,,,
Apartamento 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.610.000 Cond.: R$ 1.950,132,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Rua 3300,,120  Centro,Balneário Camboriú,R$ 1.600.000 Cond.: R$ 1.100,145,3  Quartos,3  Banheiros,1  Garagem
Apartamento a,Rua 2850,,100  Centro,Balneário Camboriú,R$ 4.150.000 Cond.: R$ 1.400,139,4  Quartos,5  Banheiros,3  Garagens
Via marina,Rua 4600,,100  Centro,Balneário Camboriú,R$ 4.628.366,153,3  Quartos,4  Banheiros,3  Garagens
Terreno pra,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.000.000,,,,
Apto 2,Rua Israel  Nações,,,Balneário Camboriú,R$ 1.021.700 Cond.: R$ 700,64,2  Quartos,2  Banheiros,2  Garagens
Ótimo apto,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 675.000,59,2  Quartos,1  Banheiro,1  Garagem
Ap 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 850.000,100,3  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua Jordânia,,199  Nações,Balneário Camboriú,R$ 999.779,83,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua Miguel Matte,,390  Pioneiros,Balneário Camboriú,R$ 2.850.000,,,,
Vale dourado,Endereço não disponível  Frente do Mar,,,Balneário Camboriú,R$ 4.000.000,110,3  Quartos,3  Banheiros,2  Garagens
Apartamento ilhas,Rua 4400,,--  Centro,Balneário Camboriú,R$ 6.000.000 Cond.: R$ 0,160,4  Quartos,4  Banheiros,3  Garagens
| em,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.300.000,230,4  Quartos,3  Banheiros,3  Garagens
"Apartamento novo,pronto",Rua 3600,,120  Centro,Balneário Camboriú,R$ 4.180.000,170,4  Quartos,5  Banheiros,3  Garagens
Amplo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.800.000,220,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Avenida do Estado Dalmo Vieira,,2495  Centro,Balneário Camboriú,R$ 1.190.000 Cond.: R$ 50,76,3  Quartos,2  Banheiros,2  Garagens
Apartamento para,Rua 2400.0,,441  Centro,Balneário Camboriú,R$ 2.665.245,150,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua Isidoro Caetano,,190  Pioneiros,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 1.100,163,3  Quartos,4  Banheiros,3  Garagens
Ap 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.171.950,195,4  Quartos,3  Banheiros,3  Garagens
Frente mar,Rua 3700,,4740  Centro,Balneário Camboriú,R$ 4.703.000,259,4  Quartos,6  Banheiros,4  Garagens
Yachthouse -,Avenida Normando Tedesco,,1333  Centro,Balneário Camboriú,R$ 6.800.000 Cond.: R$ 2.500,265,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.950.000,192,3  Quartos,4  Banheiros,2  Garagens
Pronto para,Rua 2850,,330  Centro,Balneário Camboriú,R$ 2.100.000 Cond.: R$ 800,,,,
Casa,Rua José Damásio Duarte  Barra,,,Balneário Camboriú,R$ 999.000,170,2  Quartos,3  Banheiros,1  Garagem
Apartamento,Rua Miguel Matte  Pioneiros,,,Balneário Camboriú,R$ 3.000.000,139,3  Quartos,4  Banheiros,2  Garagens
Ed azamor,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 765.000,72,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua 600,,320  Centro,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 990,127,3  Quartos,3  Banheiros,3  Garagens
Prédio,Rua 2414,,150  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento vista,Avenida Central,,414  Centro,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 800,78,2  Quartos,2  Banheiros,1  Garagem
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.470.000 Cond.: R$ 600,220,4  Quartos,3  Banheiros,1  Garagem
Apartamento em,Rua 3100  Centro,,,Balneário Camboriú,R$ 2.690.000 Cond.: R$ 0,146,4  Quartos,4  Banheiros,3  Garagens
3 dor,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.050.000,113,3  Quartos,2  Banheiros,3  Garagens
Apartamento 4,Rua 2550,,600  Centro,Balneário Camboriú,R$ 1.500.000,137,4  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua Venezuela  Nações,,,Balneário Camboriú,R$ 650.000,72,2  Quartos,1  Banheiro,1  Garagem
Apartamento 2,Rua Miguel Matte,,301  Barra Norte,Balneário Camboriú,R$ 898.000 Cond.: R$ 420,65,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Av. Atlântica,4438,"Centro, Balneário Camboriú -, 4438  Centro",Balneário Camboriú,R$ 8.950.000,,,,
Meridian tower,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.348.456,181,4  Quartos,5  Banheiros,3  Garagens
Cobertura,Rua 901,,300  Centro,Balneário Camboriú,R$ 5.999.990,240,3  Quartos,1  Banheiro,2  Garagens
Gran palazzo,Avenida Atlântica,,5200  Barra Sul,Balneário Camboriú,R$ 7.300.000 Cond.: R$ 1.600,218,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Central,,360  Centro,Balneário Camboriú,R$ 1.450.000 Cond.: R$ 790,106,3  Quartos,2  Banheiros,1  Garagem
Apartamento para,Rua 2414  Centro,,,Balneário Camboriú,R$ 2.700.000,122,3  Quartos,1  Banheiro,3  Garagens
Apartamento mobiliado,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.850.000,200,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 10.500.000,370,4  Quartos,5  Banheiros,3  Garagens
Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.200.000,460,3  Quartos,4  Banheiros,3  Garagens
Apartamento 3,Rua 3450  Centro,,,Balneário Camboriú,R$ 2.400.000 Cond.: R$ 1.300,130,3  Quartos,3  Banheiros,2  Garagens
2 dor,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 800.000,84,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 4.500.000 Cond.: R$ 1.500,,,,
Apartamento,Rua 701,,55  Centro,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 2.650,272,4  Quartos,1  Banheiro,2  Garagens
Apartamento mobiliado,Rua 3750,,117  Centro,Balneário Camboriú,R$ 1.950.000 Cond.: R$ 780,100,3  Quartos,2  Banheiros,2  Garagens
Novo e,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.600.000,128,3  Quartos,3  Banheiros,2  Garagens
Apartamento -,Rua 902,,144  Centro,Balneário Camboriú,R$ 2.800.000,137,3  Quartos,4  Banheiros,4  Garagens
Boulevard brasil,Rua 101,,30  Centro,Balneário Camboriú,R$ 2.350.000,,,,
Mar belle,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.840.197,328,3  Quartos,4  Banheiros,2  Garagens
Apartamento 131m²,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.350.000 Cond.: R$ 535,131,3  Quartos,3  Banheiros,1  Garagem
Apartamento garden,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.400.000 Cond.: R$ 2.300,297,3  Quartos,4  Banheiros,4  Garagens
Cidade jardim,Rua 3200  Centro,,,Balneário Camboriú,R$ 3.300.000,145,3  Quartos,4  Banheiros,3  Garagens
Apartamento diferenciado,Rua Érico Veríssimo,,65  Praia dos Amores,Balneário Camboriú,R$ 1.350.000 Cond.: R$ 700,100,2  Quartos,3  Banheiros,2  Garagens
4 suítes,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 8.400.000,237,4  Quartos,5  Banheiros,2  Garagens
Apartamento diferenciado,Rua 3100  Centro,,,Balneário Camboriú,R$ 3.050.000,271,4  Quartos,3  Banheiros,2  Garagens
Linda casa,Avenida Rodesindo Pavan,,7201  Praia do Estaleiro,Balneário Camboriú,R$ 8.500.000 Cond.: R$ 1.780,,,,
Casa alto,Endereço não disponível  Praia das Taquaras,,,Balneário Camboriú,R$ 3.000.000,350,3  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 850.000 Cond.: R$ 550,75,2  Quartos,2  Banheiros,1  Garagem
Residencial plaza,Rua Áustria  Nações,,,Balneário Camboriú,R$ 1.009.287,81,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua Isidoro Caetano,,99  Pioneiros,Balneário Camboriú,R$ 1.920.000 Cond.: R$ 700,106,3  Quartos,3  Banheiros,2  Garagens
Apartamento á,Rua 3100,,448  Centro,Balneário Camboriú,R$ 2.650.000,146,4  Quartos,3  Banheiros,3  Garagens
Torre d',Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.300.000 Cond.: R$ 1.146,160,3  Quartos,1  Banheiro,2  Garagens
Grandioso infinity,Rua Julieta Lins,,32  Pioneiros,Balneário Camboriú,R$ 6.500.000 Cond.: R$ 1.500,165,3  Quartos,4  Banheiros,3  Garagens
Sala,Rua Arthur Max Dôose,,153  Pioneiros,Balneário Camboriú,R$ 500.000 Cond.: R$ 669,,,,
Olympo tower,Endereço não disponível  Pontal Norte,,,Balneário Camboriú,R$ 3.180.000,132,4  Quartos,3  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 580.000,78,3  Quartos,2  Banheiros,1  Garagem
Cobertura,Avenida 3ª Avenida,,131  Centro,Balneário Camboriú,R$ 3.450.000,210,3  Quartos,4  Banheiros,3  Garagens
Casa beira,Avenida Rodesindo Pavan,,155  Praia do Estaleiro,Balneário Camboriú,R$ 25.000.000 Cond.: R$ 2.150,550,5  Quartos,6  Banheiros,6  Garagens
Terreno,Avenida Rodesindo Pavan  Praia do Estaleirinho,,,Balneário Camboriú,R$ 140.000.000,,,,
Lindo apto,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 5.995.000 Cond.: R$ 1.300,228,4  Quartos,5  Banheiros,3  Garagens
Apartamento vista,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.550.000,125,2  Quartos,2  Banheiros,1  Garagem
Sobrado,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 2.100.000,190,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.200.000,264,4  Quartos,6  Banheiros,3  Garagens
Excelente sobrado,Rua 1500  Centro,,,Balneário Camboriú,R$ 1.890.000,180,3  Quartos,3  Banheiros,1  Garagem
Cobertura,Rua Cecília Meireles,,176  Praia dos Amores,Balneário Camboriú,R$ 1.750.000,135,2  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Brasil,,3551  Centro,Balneário Camboriú,R$ 3.090.000 Cond.: R$ 973,,,,
Apartamento no,Avenida Brasil  Centro,,,Balneário Camboriú,R$ 3.300.000 Cond.: R$ 1.100,152,3  Quartos,5  Banheiros,4  Garagens
Oportunidade: apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 900.000 Cond.: R$ 900,120,3  Quartos,3  Banheiros,1  Garagem
Apartamento: vista,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 8.450.000,164,3  Quartos,3  Banheiros,4  Garagens
3 suítes,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.750.000,140,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.137.387,172,3  Quartos,3  Banheiros,2  Garagens
Casa suspensa,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.818.000,311,5  Quartos,6  Banheiros,4  Garagens
Apartamento para,Rua 3900,,155  Barra Sul,Balneário Camboriú,R$ 4.250.000,151,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida do Estado Dalmo Vieira,,4295  Centro,Balneário Camboriú,R$ 1.160.000,69,2  Quartos,2  Banheiros,1  Garagem
Terreno a,Endereço não disponível  Praia do Estaleirinho,,,Balneário Camboriú,R$ 15.000.000,,,,
Excelente loja,Rua 1201,,432  Centro,Balneário Camboriú,R$ 1.481.084,,,,
Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 10.250.000,370,4  Quartos,5  Banheiros,3  Garagens
Apartamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.500.000,150,4  Quartos,6  Banheiros,2  Garagens
Apartamento,Avenida do Estado Dalmo Vieira,,195  Praia dos Amores,Balneário Camboriú,R$ 982.971,63,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 16.000.000,478,4  Quartos,5  Banheiros,4  Garagens
Apartamento novo,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.170.000,90,2  Quartos,2  Banheiros,1  Garagem
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 100.000.000,,,,
03 suíte,Rua 101,,30  Centro,Balneário Camboriú,R$ 3.090.000 Cond.: R$ 1.250,122,3  Quartos,3  Banheiros,3  Garagens
Incrível apt,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 7.800.000,574,4  Quartos,6  Banheiros,7  Garagens
Apartamento 4,Excelente Apartamento Com Marina Exclusiva!  Centro,,,Balneário Camboriú,R$ 3.328.000,185,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Atlântica,,5553  Barra Sul,Balneário Camboriú,R$ 3.990.000 Cond.: R$ 1.200,115,2  Quartos,3  Banheiros,2  Garagens
Casa,Cruz E Souza,,198  Praia dos Amores,Balneário Camboriú,R$ 2.200.000,175,3  Quartos,4  Banheiros,2  Garagens
Empreendimento alto,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 3.240.000,300,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Rua 2850,,268  Centro,Balneário Camboriú,R$ 2.763.608,227,3  Quartos,3  Banheiros,2  Garagens
Apartamento residencial,Rua 1201,,400  Centro,Balneário Camboriú,R$ 2.970.000,,,,
Lançamento alto,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 4.510.000,194,4  Quartos,6  Banheiros,3  Garagens
Apartamento no,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 10.000.000 Cond.: R$ 1.900,184,3  Quartos,4  Banheiros,3  Garagens
